,year,month,day,name,location,country,elevation,type,status,total_deaths,total_deaths_description,total_injuries_description,total_damage_description,total_houses_destroyed_description,Tsunami caused?,Earthquake caused?,Volcano Explosive Index,longitude,latitude
677,1829,,,Guntur,Java,Indonesia,2249,Complex volcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,2,107.83,-7.13
678,1837,9,,Peuet Sague,Sumatra,Indonesia,2801,Complex volcano,Historical,,,,,,yes,yes,,96.329,4.914
679,1853,10,29,Unnamed,Taiwan-E of,Taiwan,0,Submarine volcano,Historical,,,,,,yes,no,2,121.83,24.0
680,1854,2,,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,3.0,Few (~1 to 50 deaths),,,,no,no,2,131.1,32.88
681,1860,4,,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,,,,,Few (~1 to 50 houses),no,no,2,112.92,-8.108
682,1871,4,30,Camiguin,Mindanao-Philippines,Philippines,1332,Stratovolcano,Historical,,Few (~1 to 50 deaths),,SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),yes,yes,2,124.673,9.203
683,1875,3,29,Askja,Iceland-NE,Iceland,1516,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,5,-16.75,65.03
684,1886,1,11,Tungurahua,Ecuador,Ecuador,5023,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,4,-78.442,-1.467
685,1886,6,10,Okataina,New Zealand,New Zealand,1111,Lava dome,Historical,153.0,Many (~101 to 1000 deaths),,,,no,no,2,176.5,-38.12
686,1893,1,7,Calbuco,Chile-S,Chile,2003,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,4,-72.614,-41.326
687,1951,12,4,Camiguin,Mindanao-Philippines,Philippines,1332,Stratovolcano,Historical,500.0,Many (~101 to 1000 deaths),,,,no,no,3,124.673,9.203
688,1953,3,11,Myojun Knoll,Izu Is-Japan,Japan,360,Submarine volcano,Holocene,,,,,,yes,no,2,139.85,32.1
689,1957,7,,Unzen,Kyushu-Japan,Japan,1500,Complex volcano,Historical,13.0,Few (~1 to 50 deaths),,,,no,no,,130.3,32.75
690,1981,3,29,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,3,112.92,-8.108
691,1993,1,21,Wurlali,Banda Sea,Indonesia,868,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,,128.675,-7.125
692,1993,6,26,Pinatubo,Luzon-Philippines,Philippines,1486,Stratovolcano,Historical,4.0,Few (~1 to 50 deaths),,,,no,no,1,120.35,15.13
693,1996,8,10,Kanlaon,Philippines-C,Philippines,2435,Stratovolcano,Historical,3.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,2,123.132,10.412
694,2013,5,7,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,5.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,,123.685,13.257
695,2017,3,15,Etna,Italy,Italy,3350,Stratovolcano,Historical,,,Few (~1 to 50 deaths),,,no,no,,15.004,37.734
696,2017,7,1,Dieng Volc Complex,Java,Indonesia,2565,Complex volcano,Historical,8.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,,109.92,-7.2
697,-1050,,,Pinatubo,Luzon-Philippines,Philippines,1486,Stratovolcano,Historical,,,,,,no,no,6,120.35,15.13
698,764,,,Sakura-jima,Kyushu-Japan,Japan,1117,Stratovolcano,Historical,80.0,Some (~51 to 100 deaths),,,,no,no,4,130.67,31.58
699,766,7,20,Sakura-jima,Kyushu-Japan,Japan,1117,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,,,yes,yes,3,130.67,31.58
700,1760,,,Makian,Halmahera-Indonesia,Indonesia,1357,Stratovolcano,Historical,2000.0,Very Many (~1001 or more deaths),,,,no,no,4,127.4,0.32
701,1766,4,5,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,4,-19.7,63.98
702,1790,11,,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,5405.0,Very Many (~1001 or more deaths),,,,no,no,4,-155.292,19.425
703,1803,7,4,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,,Few (~1 to 50 deaths),,,,no,no,2,138.53,36.4
704,1813,5,,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,,,,,,yes,no,2,14.426,40.821
705,1825,3,21,Shishaldin,Aleutian Is,United States,2857,Stratovolcano,Historical,,,,,,no,no,3,-163.97,54.75
706,1869,8,,Lamongan,Java,Indonesia,1651,Stratovolcano,Historical,8.0,Few (~1 to 50 deaths),,,,no,no,2,113.342,-8.0
707,1883,10,10,Krakatau,Indonesia,Indonesia,813,Caldera,Historical,,,,,,yes,no,,105.423,-6.102
708,1900,1,22,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,25.0,Few (~1 to 50 deaths),,,,no,no,2,138.53,36.4
709,1914,9,10,White Island,New Zealand,New Zealand,321,Stratovolcano,Historical,11.0,Few (~1 to 50 deaths),,,,no,no,,177.18,-37.52
710,1928,8,4,Paluweh,Lesser Sunda Is,Indonesia,875,Stratovolcano,Historical,226.0,Many (~101 to 1000 deaths),Many (~101 to 1000 deaths),,Some (~51 to 100 houses),yes,no,3,121.708,-8.32
711,1952,9,24,Myojun Knoll,Izu Is-Japan,Japan,360,Submarine volcano,Holocene,31.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,yes,no,2,139.85,32.1
712,1953,6,,Sirung,Lesser Sunda Is,Indonesia,862,Complex volcano,Historical,5.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,0,124.148,-8.51
713,1963,5,21,Villarrica,Chile-C,Chile,2847,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,2,-71.93,-39.42
714,1976,11,25,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,29.0,Few (~1 to 50 deaths),,,,no,no,2,110.442,-7.542
715,1977,8,7,Usu,Hokkaido-Japan,Japan,731,Stratovolcano,Historical,3.0,Few (~1 to 50 deaths),,,,no,no,3,140.83,42.53
716,1980,5,18,St. Helens,US-Washington,United States,2549,Stratovolcano,Historical,61.0,Some (~51 to 100 deaths),,EXTREME (~$25 million or more),,yes,yes,5,-122.18,46.2
717,1981,,,Vilyuchik,Kamchatka,Russia,2173,Stratovolcano,Tephrochronology,,Few (~1 to 50 deaths),,,,no,no,,158.3,52.68
718,1985,11,13,Ruiz,Colombia,Colombia,5321,Stratovolcano,Historical,23080.0,Very Many (~1001 or more deaths),Very Many (~1001 or more deaths),,,no,no,3,-75.322,4.895
719,1990,2,2,Shiveluch,Kamchatka,Russia,3283,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,3,161.36,56.653
720,1990,7,19,Santa Maria,Guatemala,Guatemala,3772,Stratovolcano,Historical,4.0,Few (~1 to 50 deaths),,,,no,no,3,-91.552,14.756
721,1995,2,4,Yasur,Vanuatu-SW Pacific,Vanuatu,361,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,3,169.425,-19.52
722,2006,6,14,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,1,110.442,-7.542
723,2010,3,31,Eyjafjallajokull,Iceland-S,Iceland,1666,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,2,-19.62,63.63
724,2010,11,,Tungurahua,Ecuador,Ecuador,5023,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,3,-78.442,-1.467
725,2011,7,9,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,,-19.05,63.63
726,2015,2,20,Sinabung,Sumatra,Indonesia,2460,Stratovolcano,Holocene,,,,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),no,no,,98.392,3.17
727,2018,12,15,Ambrym,Vanuatu-SW Pacific,Vanuatu,1334,Pyroclastic shield,Historical,,,,MODERATE (~$1 to $5 million),Few (~1 to 50 houses),no,yes,2,168.12,-16.25
728,2019,6,28,Manam,New Guinea-NE of,Papua New Guinea,1807,Stratovolcano,Historical,,,,MODERATE (~$1 to $5 million),,no,no,4,145.061,-4.1
729,-1370,,,Pago,New Britain-SW Pac,Papua New Guinea,742,Caldera,Historical,,,,,,no,no,6,150.52,-5.58
730,710,,,Pago,New Britain-SW Pac,Papua New Guinea,742,Caldera,Historical,,,,,,no,no,6,150.52,-5.58
731,1853,7,13,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,34.0,Few (~1 to 50 deaths),,,Few (~1 to 50 houses),no,no,3,123.685,13.257
732,1872,11,3,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,200.0,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),no,no,4,110.442,-7.542
733,1878,1,10,Yasur,Vanuatu-SW Pacific,Vanuatu,361,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,yes,no,3,169.425,-19.52
734,1905,8,4,Savai'i,Samoa-SW Pacific,Samoa,1858,Shield volcano,Historical,,,,SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),yes,no,2,-172.525,-13.612
735,1918,10,12,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,4,-19.05,63.63
736,1944,8,20,Stromboli,Italy,Italy,926,Stratovolcano,Historical,,,,,,yes,no,2,15.213,38.789
737,1952,9,26,Myojun Knoll,Izu Is-Japan,Japan,360,Submarine volcano,Holocene,,,,,,yes,no,2,139.85,32.1
738,1955,7,26,Carran-Los Venados,Chile-C,Chile,1114,Pyroclastic cone,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,4,-72.07,-40.35
739,1961,5,8,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,6.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),MODERATE (~$1 to $5 million),Many (~101 to 1000 houses),no,no,3,110.442,-7.542
740,1975,6,17,Arenal,Costa Rica,Costa Rica,1657,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,3,-84.703,10.463
741,1980,8,17,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,3,-19.7,63.98
742,1981,9,5,Paluweh,Lesser Sunda Is,Indonesia,875,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),no,no,2,121.708,-8.32
743,1988,,,Akita-Yake-yama,Honshu-Japan,Japan,1366,Complex volcano,Historical,3.0,Few (~1 to 50 deaths),,,,no,no,,140.77,39.97
744,1991,7,3,Karthala,Indian O-W,Comoros,2361,Shield volcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,2,43.38,-11.75
745,1994,11,22,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,60.0,Some (~51 to 100 deaths),,,,no,no,3,110.442,-7.542
746,1995,2,11,Yake-dake,Honshu-Japan,Japan,2455,Stratovolcano,Historical,4.0,Few (~1 to 50 deaths),,,,no,no,1,137.58,36.22
747,2002,12,30,Stromboli,Italy,Italy,926,Stratovolcano,Historical,,,Few (~1 to 50 deaths),LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),yes,no,,15.213,38.789
748,2003,7,12,Soufriere Hills,W Indies,Montserrat,915,Stratovolcano,Historical,,,,,,yes,no,3,-62.18,16.72
749,2010,1,,Tungurahua,Ecuador,Ecuador,5023,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,3,-78.442,-1.467
750,2018,6,3,Fuego,Guatemala,Guatemala,3763,Stratovolcano,Historical,201.0,Many (~101 to 1000 deaths),Few (~1 to 50 deaths),EXTREME (~$25 million or more),Many (~101 to 1000 houses),no,no,2,-90.88,14.473
751,-1550,,,Redoubt,Alaska-SW,United States,3108,Stratovolcano,Historical,,,,,,no,no,,-152.75,60.48
752,-250,,,Raoul Island,Kermadec Is,New Zealand,516,Stratovolcano,Historical,,,,,,no,no,6,-177.92,-29.27
753,1640,7,31,Komaga-take,Hokkaido-Japan,Japan,1140,Stratovolcano,Historical,700.0,Many (~101 to 1000 deaths),,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),yes,yes,5,140.68,42.07
754,1785,4,18,Aoga-shima,Izu Is-Japan,Japan,423,Stratovolcano,Historical,135.0,Many (~101 to 1000 deaths),,,,no,no,3,139.77,32.45
755,1812,8,6,Awu,Sangihe Is-Indonesia,Indonesia,1320,Stratovolcano,Historical,953.0,Many (~101 to 1000 deaths),,,,no,no,3,125.5,3.67
756,1853,6,24,Niuafo'ou,Tonga-SW Pacific,Tonga,260,Shield volcano,Historical,25.0,Few (~1 to 50 deaths),,,,no,no,0,-175.63,-15.6
757,1892,5,21,Sorikmarapi,Sumatra,Indonesia,2145,Stratovolcano,Historical,180.0,Many (~101 to 1000 deaths),,,,no,no,2,99.539,0.686
758,1917,4,,Calbuco,Chile-S,Chile,2003,Stratovolcano,Historical,,,,,,no,no,3,-72.614,-41.326
759,1938,7,16,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,,Few (~1 to 50 deaths),,,,no,no,1,138.53,36.4
760,1941,7,13,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,2,138.53,36.4
761,1943,2,20,Michoacan-Guanajuato,Mexico,Mexico,3860,Cinder cone,Historical,103.0,Few (~1 to 50 deaths),,,,no,no,4,-102.25,19.48
762,1944,12,4,Dieng Volc Complex,Java,Indonesia,2565,Complex volcano,Historical,117.0,Many (~101 to 1000 deaths),Many (~101 to 1000 deaths),,,no,no,2,109.92,-7.2
763,1953,10,5,Oshima,Izu Is-Japan,Japan,758,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,1,139.38,34.73
764,1973,4,5,"Hudson, Cerro",Chile-S,Chile,1905,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),no,no,,-72.97,-45.9
765,1990,4,18,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,2,131.1,32.88
766,1991,6,15,Pinatubo,Luzon-Philippines,Philippines,1486,Stratovolcano,Historical,800.0,Many (~101 to 1000 deaths),Few (~1 to 50 deaths),SEVERE (~>$5 to $24 million),,no,yes,6,120.35,15.13
767,1992,7,12,Pinatubo,Luzon-Philippines,Philippines,1486,Stratovolcano,Historical,6.0,Few (~1 to 50 deaths),,,,no,no,1,120.35,15.13
768,1995,4,2,Fogo,Cape Verde Is,Cape Verde,2829,Stratovolcano,Historical,,,Few (~1 to 50 deaths),LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),no,no,2,-24.35,14.95
769,1996,12,3,Manam,New Guinea-NE of,Papua New Guinea,1807,Stratovolcano,Historical,13.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,3,145.061,-4.1
770,2000,11,3,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,,-155.292,19.425
771,2005,10,1,Santa Ana,El Salvador,El Salvador,2365,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,3,-89.63,13.853
772,2006,5,20,Soufriere Hills,W Indies,Montserrat,915,Stratovolcano,Historical,,,,,,yes,no,2,-62.18,16.72
773,2015,4,22,Calbuco,Chile-S,Chile,2003,Stratovolcano,Historical,,,,MODERATE (~$1 to $5 million),Some (~51 to 100 houses),no,no,,-72.614,-41.326
774,2017,9,12,Campi Flegrei,Italy,Italy,458,Caldera,Historical,3.0,Few (~1 to 50 deaths),,,,no,no,,14.139,40.827
775,2018,1,5,Kadovar,New Guinea-NE of,Papua New Guinea,365,Stratovolcano,Holocene,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,,144.62,-3.62
776,2018,3,21,Ijen,Java,Indonesia,2799,Stratovolcano,Historical,,,Few (~1 to 50 deaths),,,no,no,,114.242,-8.058
777,1631,2,14,Dama Ali,Africa-NE,Ethiopia,1068,Shield volcano,Historical,50.0,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),,no,yes,,41.63,11.28
778,1659,11,11,Teon,Banda Sea,Pacific Ocean,655,Stratovolcano,Historical,,,,,,yes,no,4,129.125,-6.92
779,1664,,,Iwo-Tori-shima,Ryukyu Is,Japan,217,Complex volcano,Historical,,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),yes,no,,128.25,27.85
780,1707,5,,Santorini,Greece,Greece,329,Shield volcano,Historical,,,,,,yes,no,,25.396,36.404
781,1729,6,30,Krafla,Iceland-NE,Iceland,650,Caldera,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,2,-16.78,65.73
782,1780,2,9,Sakura-jima,Kyushu-Japan,Japan,1117,Stratovolcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,4,130.67,31.58
783,1835,11,1,Banda Api,Banda Sea,Pacific Ocean,640,Caldera,Historical,,Many (~101 to 1000 deaths),,MODERATE (~$1 to $5 million),Some (~51 to 100 houses),no,yes,,129.871,-4.525
784,1843,2,17,Soufriere Guadeloupe,W Indies,Guadeloupe,1467,Stratovolcano,Historical,,,,,,yes,no,,-61.67,16.05
785,1854,2,18,Shiveluch,Kamchatka,Russia,3283,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,5,161.36,56.653
786,1856,7,26,Shishaldin,Aleutian Is,United States,2857,Stratovolcano,Historical,,,,,,yes,no,,-163.97,54.75
787,1860,8,18,Fuego,Guatemala,Guatemala,3763,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,2,-90.88,14.473
788,1868,9,5,Etna,Italy,Italy,3350,Stratovolcano,Historical,,,,,,yes,yes,,15.004,37.734
789,1872,4,17,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,170.0,Many (~101 to 1000 deaths),,,Some (~51 to 100 houses),no,no,4,110.442,-7.542
790,1875,1,29,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,,Few (~1 to 50 deaths),,MODERATE (~$1 to $5 million),Some (~51 to 100 houses),no,no,0,112.308,-7.93
791,1878,2,11,Yasur,Vanuatu-SW Pacific,Vanuatu,361,Stratovolcano,Historical,,,,,,yes,yes,,169.425,-19.52
792,1909,4,28,"Cameroon, Mt.",Africa-W,Cameroon,4095,Stratovolcano,Historical,,,,,,no,yes,2,9.17,4.203
793,1914,1,18,Pago,New Britain-SW Pac,Papua New Guinea,742,Caldera,Historical,,Few (~1 to 50 deaths),,,,no,no,3,150.52,-5.58
794,1917,4,1,Okataina,New Zealand,New Zealand,1111,Lava dome,Historical,2.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,1,176.5,-38.12
795,1930,3,17,Krakatau,Indonesia,Indonesia,813,Caldera,Historical,,,,,,yes,no,2,105.423,-6.102
796,1930,9,11,Stromboli,Italy,Italy,926,Stratovolcano,Historical,6.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),MODERATE (~$1 to $5 million),,yes,no,3,15.213,38.789
797,1934,,,Hood,US-Oregon,United States,3426,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,,-121.694,45.374
798,1946,11,13,Sarychev Peak,Kuril Is,Russia,1496,Stratovolcano,Historical,,,,,,yes,no,4,153.2,48.092
799,1954,2,,Stromboli,Italy,Italy,926,Stratovolcano,Historical,,,,,,yes,no,,15.213,38.789
800,1955,10,13,Sakura-jima,Kyushu-Japan,Japan,1117,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,3,130.67,31.58
801,1962,10,,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,,110.442,-7.542
802,1990,2,10,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,32.0,Few (~1 to 50 deaths),,,,no,no,4,112.308,-7.93
803,1993,6,23,Unzen,Kyushu-Japan,Japan,1500,Complex volcano,Historical,1.0,Few (~1 to 50 deaths),,,Few (~1 to 50 houses),no,no,1,130.3,32.75
804,2010,8,6,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,1784,Stratovolcano,Historical,4.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,Few (~1 to 50 houses),no,no,3,125.48,2.7800000000000002
805,2014,11,10,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,,,,SEVERE (~>$5 to $24 million),Few (~1 to 50 houses),no,no,,-155.292,19.425
806,2016,5,9,Sinabung,Sumatra,Indonesia,2460,Stratovolcano,Holocene,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),LIMITED (roughly corresponding to less than $1 million),,no,no,,98.392,3.17
807,2019,1,7,Manam,New Guinea-NE of,Papua New Guinea,1807,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,4,145.061,-4.1
808,2019,5,7,Sinabung,Sumatra,Indonesia,2460,Stratovolcano,Holocene,,,,MODERATE (~$1 to $5 million),,no,no,,98.392,3.17
809,450,,,Ilopango,El Salvador,El Salvador,450,Caldera,Historical,30000.0,Very Many (~1001 or more deaths),,,,no,no,6,-89.053,13.672
810,1565,8,,Pacaya,Guatemala,Guatemala,2552,Complex volcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,yes,3,-90.601,14.381
811,1716,11,9,Kirishima,Kyushu-Japan,Japan,1700,Shield volcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,3,130.87,31.93
812,1721,6,22,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,15.0,Few (~1 to 50 deaths),,,,no,no,1,138.53,36.4
813,1762,,,Kliuchevskoi,Kamchatka,Russia,4835,Stratovolcano,Historical,,Few (~1 to 50 deaths),,,,no,no,2,160.638,56.057
814,1784,7,,Sabancaya,Peru,Peru,5967,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,,-71.85,-15.78
815,1786,,,Dieng Volc Complex,Java,Indonesia,2565,Complex volcano,Historical,38.0,Few (~1 to 50 deaths),,,Some (~51 to 100 houses),no,no,2,109.92,-7.2
816,1800,10,8,Guntur,Java,Indonesia,2249,Complex volcano,Historical,,Many (~101 to 1000 deaths),,,,no,no,,107.83,-7.13
817,1800,,,Hualalai,Hawaiian Is,United States,2523,Shield volcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,0,-155.87,19.692
818,1839,2,12,Unnamed,Chile-Is,Chile,-642,Submarine volcano,Uncertain,,,,,,yes,no,2,-76.83,-33.62
819,1861,5,,Grimsvotn,Iceland-NE,Iceland,1725,Caldera,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,2,-17.33,64.42
820,1878,1,,Rabaul,New Britain-SW Pac,Papua New Guinea,688,Pyroclastic shield,Historical,1.0,Few (~1 to 50 deaths),,,,yes,yes,3,152.203,-4.271
821,1901,5,22,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,,Some (~51 to 100 deaths),,,,no,no,3,112.308,-7.93
822,1911,1,30,Taal,Luzon-Philippines,Philippines,400,Stratovolcano,Historical,1335.0,Very Many (~1001 or more deaths),Many (~101 to 1000 deaths),SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),yes,yes,3,120.993,14.002
823,1917,1,1,"Lengai, Ol Doinyo",Africa-E,Tanzania,2890,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,3,35.902,-2.751
824,1921,11,26,Nasu,Honshu-Japan,Japan,1917,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,,139.97,37.12
825,1933,5,10,Hakone,Honshu-Japan,Japan,1438,Complex volcano,Radiocarbon,1.0,Few (~1 to 50 deaths),,,,no,no,,139.02,35.22
826,1941,9,21,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,2,112.92,-8.108
827,1944,6,23,Usu,Hokkaido-Japan,Japan,731,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,2,140.83,42.53
828,1947,11,2,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,4,-19.7,63.98
829,1976,8,3,Kusatsu-Shirane,Honshu-Japan,Japan,2176,Stratovolcano,Historical,3.0,Few (~1 to 50 deaths),,,,no,no,,138.55,36.62
830,1979,7,5,Etna,Italy,Italy,3350,Stratovolcano,Historical,9.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,2,15.004,37.734
831,1982,5,17,Galunggung,Java,Indonesia,2168,Stratovolcano,Historical,68.0,Some (~51 to 100 deaths),,SEVERE (~>$5 to $24 million),,no,no,4,108.05,-7.25
832,1988,7,6,Arenal,Costa Rica,Costa Rica,1657,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,3,-84.703,10.463
833,2005,11,24,Karthala,Indian O-W,Comoros,2361,Shield volcano,Historical,,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,no,no,,43.38,-11.75
834,2010,12,28,Tengger Caldera,Java,Indonesia,2329,Stratovolcano,Historical,,,,,,no,no,,112.95,-7.942
