,year,month,day,name,location,country,elevation,type,status,total_deaths,total_deaths_description,total_injuries_description,total_damage_description,total_houses_destroyed_description,Tsunami caused?,Earthquake caused?,Volcano Explosive Index,longitude,latitude
137,1749,8,11,Taal,Luzon-Philippines,Philippines,400,Stratovolcano,Historical,,Few (~1 to 50 deaths),,SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),yes,yes,3,120.993,14.002
138,1848,5,16,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,21.0,Few (~1 to 50 deaths),,,Many (~101 to 1000 houses),no,no,2,112.308,-7.93
139,1861,5,7,Dubbi,Africa-NE,Eritrea,1625,Stratovolcano,Historical,106.0,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),no,yes,3,41.808,13.58
140,1892,8,30,Tofua,Tonga-SW Pacific,Tonga,512,Caldera,Historical,,,,,,yes,no,2,-175.07,-19.75
141,1897,5,23,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,350.0,Many (~101 to 1000 deaths),,,,no,no,3,123.685,13.257
142,1902,5,5,Pelee,W Indies,Martinique,1397,Stratovolcano,Historical,23.0,Few (~1 to 50 deaths),,,,yes,no,,-61.17,14.82
143,1912,12,3,Nyamuragira,Africa-C,"Congo, DRC",3058,Shield volcano,Historical,20.0,Few (~1 to 50 deaths),,,,no,no,3,29.2,-1.408
144,1919,2,19,Popocatepetl,Mexico,Mexico,5426,Stratovolcano,Historical,,Some (~51 to 100 deaths),,,,no,no,1,-98.622,19.023
145,1919,4,3,Banua Wuhu,Sangihe Is-Indonesia,Indonesia,-5,Submarine volcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),yes,no,,125.491,3.138
146,1923,3,2,"Cendres, Ile des",SE Asia,Vietnam,-20,Submarine volcanoes,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,yes,yes,2,109.014,10.158
147,1929,8,2,Etna,Italy,Italy,3350,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,2,15.004,37.734
148,1939,8,17,Tori-shima,Izu Is-Japan,Japan,403,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,2,140.32,30.48
149,1940,6,20,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,1784,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,2,125.48,2.7800000000000002
150,1947,7,6,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,11.0,Few (~1 to 50 deaths),,,,no,no,2,138.53,36.4
151,1957,8,,Oshima,Izu Is-Japan,Japan,758,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),Some (~51 to 100 deaths),,,no,no,2,139.38,34.73
152,1979,9,6,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,3.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,2,131.1,32.88
153,1980,12,25,Hood,US-Oregon,United States,3426,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,,-121.694,45.374
154,1989,8,26,Kirishima,Kyushu-Japan,Japan,1700,Shield volcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,,130.87,31.93
155,1994,5,29,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,1,131.1,32.88
156,2001,5,14,Etna,Italy,Italy,3350,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,no,no,3,15.004,37.734
157,2011,2,23,Bulusan,Luzon-Philippines,Philippines,1565,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,2,124.05,12.77
158,2014,2,13,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,7.0,Few (~1 to 50 deaths),,SEVERE (~>$5 to $24 million),Very Many (~1001 or more houses),no,no,,112.308,-7.93
159,-3550,,,Pinatubo,Luzon-Philippines,Philippines,1486,Stratovolcano,Historical,,,,,,no,no,6,120.35,15.13
160,1050,,,Santorini,Greece,Greece,329,Shield volcano,Historical,,,,,,yes,no,,25.396,36.404
